alpha,our_auc
0.05,0.6637403694421239
0.1,0.6619859834772115
0.15,0.6634410099322381
0.2,0.665817321080479
0.25,0.6678501810080757
0.3,0.6696486586837465
0.35,0.6711431356168199
0.4,0.6735844240230205
0.45,0.6753805810823356
0.5,0.6768773786317646
0.55,0.6784461152882206
0.6,0.680105355982549
0.65,0.6819061542745753
0.7,0.6834006312076488
0.75,0.6848649401280981
0.8,0.6863594170611714
0.85,0.6876914508493456
0.9,0.6894829666759491
0.95,0.6907128933444723
1.0,0.6915692007797272
